Country,total_content,movies,tv_shows,percentage,Market_Tier
Angola,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Albania,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Armenia,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Azerbaijan,1,0,1,0.01,Tier 5: Untapped (< 5 titles)
Belarus,1,0,1,0.01,Tier 5: Untapped (< 5 titles)
Liechtenstein,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Latvia,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Lithuania,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Puerto Rico,1,0,1,0.01,Tier 5: Untapped (< 5 titles)
Paraguay,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Nicaragua,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Panama,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Malawi,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Mauritius,1,0,1,0.01,Tier 5: Untapped (< 5 titles)
Montenegro,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Mongolia,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Sudan,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Sri Lanka,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Somalia,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Slovakia,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Samoa,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Syria,1,0,1,0.01,Tier 5: Untapped (< 5 titles)
Uganda,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
Vatican City,1,1,0,0.01,Tier 5: Untapped (< 5 titles)
