Genre,Content_Count
LGBTQ Movies,90
TV Mysteries,90
Science & Nature TV,85
TV Sci-Fi & Fantasy,75
TV Horror,69
Teen TV Shows,60
Cult Movies,59
Anime Features,57
Faith & Spirituality,57
Movies,56
Stand-Up Comedy & Talk Shows,52
TV Thrillers,50
Classic & Cult TV,25
