Genre,2017-2018,2019-2020,2019,2020,Multi-Year_Growth_%,YoY_2019-2020_%,Priority
Music & Musicals,145,153,82,71,5.52,-13.41,DECLINING - Consider Reducing
Documentaries,376,309,189,120,-17.82,-36.51,DECLINING - Consider Reducing
Stand-Up Comedy,152,115,66,49,-24.34,-25.76,DECLINING - Consider Reducing
